X,Y,gid,Name,description,tessellate
11.6881905,53.038948,"1",Berlin - Hamburg,1hr 35min,"1"
24.2205194,53.9097005,"2",Bialystok - Vilnius,7hr 30 min,"1"
12.9969105,49.1116745,"3",Munich - Prague,6hr 05min,"1"
12.463584,50.332771,"4",Berlin - Munich,5hr 45min,"1"
10.109964,49.1234935,"5",Frankfurt - Munich,3hr 10min,"1"
13.9027285,51.3039875,"6",Berlin - Prague,4hr 35min,"1"
4.628761,51.612128,"7",Amsterdam - Brussels,1hr 53min,"1"
5.657718,50.8943055,"8",Brussels - Cologne,1hr 47min,"1"
5.929463,51.6609465,"9",Amsterdam - Cologne,2hr 38min,"1"
9.134954,52.4519265,"10",Amsterdam - Berlin,6hr 10min,"1"
10.163911,51.734104,"11",Cologne - Berlin,4hr 20min,"1"
11.285924,54.6127505,"12",Hamburg - Copenhagen,4hr 30min,"1"
15.3114005,57.501679,"13",Copenhagen - Stockholm,5hr 15min,"1"
11.730739,57.884852,"14",Copenhagen - Oslo,8hr 40min,"1"
14.4051945,59.6208825,"15",Stockholm - Oslo,6hr 20min,"1"
8.04269,60.150778,"16",Oslo - Bergen,6hr 45min,"1"
16.3475115,61.250479,"17",Stockholm - Östersund,7hr 00min,"1"
12.5179435,63.30348,"18",Östersund - Trontheim,3hr 50min,"1"
19.175283,63.680859,"19",Stockholm - Kiruna,16hr 00min,"1"
7.810291,50.5248265,"20",Cologne - Frankfurt,1hr 22min,"1"
9.3345705,51.8296705,"21",Frankfurt - Hamburg,3hr 40min,"1"
10.7823725,50.846635,"22",Hamburg - Munich,5hr 50min,"1"
18.964221552531,52.3176074998898,"23",Berlin - Warsaw,6hr 05min,"1"
19.0209063,51.6683631,"24",Prague - Warsaw,8hr 40min,"1"
18.68988,50.207032,"25",Vienna - Warsaw,7hr 30 min,"1"
15.40627,49.134057,"26",Prague - Vienna,4hr 30min,"1"
13.9671255,48.1628405,"27",Munich - Vienna,4hr 10min,"1"
17.730238,47.842698,"28",Vienna - Budapest,2hr 45min,"1"
14.348368,46.8130855,"29",Vienna - Venice,7hr 20min,"1"
16.7982535,46.779463,"30",Budapest - Ljubljana,9hr 00min,"1"
17.5312355,46.6521955,"31",Budapest - Zagreb,6hr 05min,"1"
