X,Y,Name,description
-9.50998,53.795725,Westport,
-8.45756,51.901005,Cork,
-5.917271,54.594629,Belfast,
-6.24715,53.352548,Dublin,
-7.940672,37.019389,Faro,
-8.609558,41.145249,Porto,
-9.141473,38.714152,Lisbon,
-8.544694,42.870519,Santiago de Compostela,
-3.811224,43.458229,Santander,
-1.661531,42.824738,Pamplona,
-5.975356,37.391648,Seville,
-4.43229,36.711427,Málaga,
-0.381325,39.458883,Valencia,
-3.690719,40.405679,Madrid,
2.140469,41.378603,Barcelona,
3.880453,43.604241,Montpellier,
5.381999,43.303276,Marseille,
7.26187,43.704166,Nice,
15.106632,37.515359,Catania,
16.869183,41.117164,Bari,
14.27293,40.852658,Naples,
12.50197,41.899798,Rome,
11.247401,43.776565,Florence,
11.341174,44.506272,Bologna,
12.320251,45.440948,Venice,
9.204492,45.485641,Milan,
7.437358,46.948635,Bern,
4.859966,45.760029,Lyon,
-0.556307,44.824373,Bordeaux,
-1.672044,48.103351,Rennes,
28.979608,41.015402,Istanbul,
18.057932,59.330669,Stockholm,
4.900506,52.378769,Amsterdam,
4.357016,50.845487,Brussels,
6.95842,50.943124,Cologne,
13.369402,52.525084,Berlin,
10.006979,53.552812,Hamburg,
12.564869,55.672689,Copenhagen,
10.752457,59.911096,Oslo,
14.637091,63.170289,Östersund,
10.398796,63.436671,Trontheim,
20.200241,67.8673,Kiruna,
5.332923,60.39046,Bergen,
8.662162,50.106529,Frankfurt,
11.557766,48.140458,Munich,
14.436055,50.082891,Prague,
21.003275,52.228841,Warsaw,
16.376485,48.185223,Vienna,
19.083991,47.500173,Budapest,
14.512516,46.058753,Ljubljana,
15.97848,45.804218,Zagreb,
16.455219,43.52207,Split,
20.455271,44.808865,Belgrade,
26.073654,44.446557,Bucharest,
23.321444,42.711976,Sofia,
21.446154,41.991121,Skopje,
22.929825,40.644522,Thessaloniki,
23.720809,37.992411,Athens,
21.734772,38.249375,Patras,
24.941492,60.17096,Helsinki,
22.253525,60.453301,Turku,
25.70505,66.498039,Rovaniemi,
2.355006,48.87993,Paris,
-0.126133,51.531427,London,
-5.532589,50.121316,Penzance,
-2.580706,51.449065,Bristol,
-1.898574,52.477492,Birmingham,
-4.630768,53.307618,Holyhead,
-3.188345,55.952064,Edinburgh,
-4.25806,55.860302,Glasgow,
-2.098714,57.143437,Aberdeen,
25.2796514,54.6871555,Vilnius,
23.1613874,53.1322455,Bialystok,
21.1442795,55.7032948,Klaipėda,
24.1051865,56.9496487,Riga,
24.7538634,59.441099,Tallinn,
32.8615239,39.9019795,Ankara,
18.6466384,54.3520252,Gdańsk,
16.9251681,52.406374,Poznań,
17.0385376,51.1078852,Wrocław,
19.9449799,50.0646501,Krakau,
